,average_x,average_y
180,289.5891875,275.672875
181,289.7336875,275.6190625
182,291.356625,275.510125
183,292.589,275.2725625
184,294.22237500000006,275.1820625
185,293.6405625,275.478625
186,295.55375,275.424375
187,296.936,275.1263125
188,298.0720625,275.2650625
189,299.22643750000003,275.255875
190,300.3031875,275.3969375
191,302.563,275.7430625
192,304.187125,276.70468750000003
193,304.5271875,277.1410625
194,305.25699999999995,277.03975
195,306.993875,277.2421875
196,308.3035,276.8255625
197,308.7555,277.01025
198,308.874375,277.093125
199,308.3878125,277.16968749999995
200,308.8765625,276.92306249999996
201,307.7545,277.4437499999999
202,308.04537500000004,276.62093749999997
203,308.3445625,276.8866875
204,308.2083124999999,277.241375
205,308.0338125,276.8865
206,308.11487500000004,277.39825
207,308.55362499999995,277.44399999999996
208,308.865875,277.446875
